Date,Open,High,Low,Close,Volume,Adj Close
20161202,5249.02002,5274.540039,5239.27002,5255.649902,1848930000,5255.649902
20161201,5323.879883,5326.339844,5238.209961,5251.109863,2264960000,5251.109863
20161130,5391.350098,5393.149902,5323.680176,5323.680176,2064430000,5323.680176
20161129,5370.97998,5403.859863,5360.560059,5379.919922,1788790000,5379.919922
20161128,5387.919922,5396.27002,5364.910156,5368.810059,1625620000,5368.810059
20161125,5388.490234,5398.919922,5379.279785,5398.919922,768070000,5398.919922
20161123,5366.549805,5380.680176,5350.680176,5380.680176,1616740000,5380.680176
20161122,5384.75,5392.259766,5365.600098,5386.350098,1886800000,5386.350098
20161121,5336.779785,5369.830078,5334.160156,5368.859863,1745320000,5368.859863
20161118,5340.970215,5346.799805,5315.529785,5321.509766,1858610000,5321.509766
20161117,5295.069824,5334.049805,5288.160156,5333.970215,2081760000,5333.970215
20161116,5253.740234,5299.629883,5251.879883,5294.580078,2057140000,5294.580078
20161115,5241.350098,5287.060059,5236.25,5275.620117,2156500000,5275.620117
20161114,5246.330078,5247.169922,5192.049805,5218.399902,2369190000,5218.399902
20161111,5191.819824,5241.080078,5179.640137,5237.109863,2285050000,5237.109863
20161110,5283.47998,5302.680176,5145.319824,5208.799805,2984360000,5208.799805
20161109,5143.859863,5258.990234,5143.859863,5251.069824,2824560000,5251.069824
20161108,5154.990234,5214.169922,5145.299805,5193.490234,1736100000,5193.490234
20161107,5128.990234,5169.410156,5122.77002,5166.169922,1914310000,5166.169922
