tstart	ftime	x0	y0	z0	vx0	vy0	vz0	ax	ay	az
0.074662777	0.301114136	-0.936147638	55	6.069053684	0.847632237	-136.2258397	-3.710793925	-3.08300003	30.87100143	-16.6099999
0.075095931	0.300755075	-1.006551568	55	6.045564582	8.024931537	-135.1004638	-3.765761176	-15.23699995	25.93999977	-22.75700021
0.077312467	0.30980792	-1.247176359	55	5.899240837	3.912251363	-131.2542318	-3.52031267	6.297000443	24.82800026	-25.5200007
0.078171753	0.312692671	-1.304431049	55	5.926384385	3.568597832	-129.7270582	-2.201146547	4.561000381	23.19399948	-24.40399957
0.086367848	0.349044271	-0.798186235	55	6.08075991	-1.699155654	-117.8503993	1.67932539	10.56399969	24.08699913	-45.51100183
0.074397096	0.299867019	-1.134148	55	5.993921267	7.707352926	-136.6838224	-5.389669301	-14.76499983	30.70400162	-20.67199922
0.077812497	0.310588086	-1.387581212	55	5.880308194	2.780538939	-130.22343	-5.887399547	0.634999786	22.07700081	-22.26300073
0.078559795	0.313815348	-1.348563922	55	5.866383306	3.417937955	-129.0216301	-0.289237967	3.52500013	22.13400002	-26.63800073
0.078202425	0.312249268	-1.634215283	55	5.835749965	-2.149432147	-129.5901153	-2.442927284	5.90099958	22.06400032	-25.60199953
0.086163367	0.348230333	-1.289184644	55	6.08975025	0.247668443	-118.1315708	1.008937824	11.79300073	24.2189991	-42.76400018
0.075569544	0.304368973	-1.069736562	55	6.041853704	8.408843078	-134.5279186	-5.374752328	-17.33299967	29.28600044	-23.37299944
0.075398874	0.302420301	-1.177773324	55	5.970039176	6.474022605	-134.6307322	-2.454633686	-12.3140001	26.71199913	-23.80500055
0.086159773	0.348399033	-1.241806497	55	6.101227585	1.589206213	-118.1584329	-0.847794954	11.35899976	24.47899933	-42.28400064
0.087902736	0.355296929	-1.190578114	55	6.096623187	1.733494519	-115.7982996	-0.443652388	9.995999847	23.31899948	-42.94300104
0.074562532	0.298946644	-1.230948016	55	6.051163322	4.678266087	-136.1211806	-5.429170295	-5.187999989	27.04799957	-14.72400022
0.075017898	0.300399995	-1.166807564	55	6.063522334	3.385992736	-135.2340176	-2.891836299	-11.37300011	25.90000076	-26.46999956
0.075882548	0.304668887	-1.055739296	55	6.009698095	9.207608453	-133.8216231	-2.288814928	-13.64100024	27.02600021	-21.12199998
0.077639119	0.311744377	-1.429817254	55	5.871654154	5.075331407	-130.7973944	-1.860064089	4.160999809	25.86200066	-27.54400087
0.087887739	0.354559913	-1.228108476	55	6.088361242	-3.071166027	-115.7398986	1.929594878	14.17999986	22.42599983	-44.70899988
0.079730327	0.317745131	-1.275992042	55	5.962827004	2.594189147	-127.0176295	-4.45031587	-9.552000011	20.09800072	-25.7719996
0.075211872	0.302230294	-1.45801703	55	6.040501253	1.905186334	-135.0558867	-7.020216496	-11.27899977	28.06100006	-25.47500063
0.07475285	0.299951046	-1.408826757	55	6.023027573	2.077343086	-135.8142078	-3.036208333	-8.696000065	27.44600029	-23.18599916
0.074593006	0.298891561	-1.306196794	55	6.108278611	0.451161705	-136.036287	-3.518628446	-0.654999937	26.62900085	-15.40800024
0.088358324	0.355435404	-1.071622469	55	6.188081341	-2.752350674	-115.0054243	5.339758538	9.195000206	20.83500023	-43.20299936
0.075460346	0.302714393	-1.096390187	55	6.007052645	5.419986128	-134.5287065	-3.650189767	-12.65199992	26.77099915	-21.38599992
0.075448986	0.302618272	-1.125539267	55	6.011113902	4.171901863	-134.5408256	-4.62232509	-8.736999954	26.66999931	-18.24799944
0.087699168	0.355634319	-1.214362657	55	6.085366003	-0.766298875	-116.2003674	5.605183269	11.22600034	24.96799965	-44.60300089
0.0778758	0.3122559	-1.484548466	55	5.89930181	3.997347534	-130.3336491	-3.86601082	6.249999557	24.84500046	-24.8799994
0.075253585	0.302512379	-1.016508438	55	6.046390537	7.12824636	-134.9994018	-3.137851267	-10.89900013	28.27699966	-18.39999986
0.076383794	0.306284463	-1.221033463	55	6.029181563	6.952955183	-132.8811913	0.438289908	-13.3969998	25.84800072	-20.66099954
0.074194247	0.296800033	-0.955911707	55	6.048113768	8.003671171	-136.6846174	-5.95759989	-2.797000016	25.78799934	-19.92499948
0.078664318	0.314434254	-1.467841214	55	5.828924009	5.228187731	-128.8804697	-3.632845087	1.742000137	22.46399994	-25.74399973
0.075912256	0.303573596	-1.426110399	55	5.956776874	4.893029778	-133.5753139	-7.712616999	-6.63000008	24.42200012	-17.12899995
0.078462065	0.313012077	-1.409495788	55	5.883695475	1.222091705	-129.1197048	-1.074702827	5.325999771	21.38300056	-25.10499979
0.084816074	0.339274739	-1.325015255	55	5.973301388	7.030321121	-119.5650561	-7.919558133	-9.086999859	19.70900078	-23.81699968
0.088483648	0.358282986	-1.438755069	55	5.977606355	-1.247666802	-115.1102735	3.440008266	14.91200021	23.84100075	-41.71099878
0.087697865	0.353194313	-1.056230494	55	5.932651136	-0.28315783	-115.9204022	0.787381148	2.658999954	21.71399994	-28.52499986
0.075558631	0.304961868	-1.100077971	55	5.929896542	5.379239751	-134.6475197	-3.112676894	-12.26100012	30.63700027	-22.74799944
0.0890701	0.360605455	-1.228842615	55	6.03182571	-1.745843855	-114.3465632	3.923156246	9.877000366	23.46199913	-43.69200159
0.078219577	0.313813932	-1.501382684	55	5.889866802	3.202759674	-129.7877405	-2.625737203	3.394000088	24.97499962	-24.52299905
