tstart	ftime	x0	y0	z0	vx0	vy0	vz0	ax	ay	az
0.075662308	0.304549592	-1.611007006	55	6.154691861	5.965681995	-134.3325462	-7.212973134	-11.36399981	28.80700035	-15.94899965
0.090393548	0.36363824	-1.218876347	55	6.044546586	-0.839844574	-112.4178143	4.924788458	10.41000036	19.92699928	-41.58200098
0.07764106	0.309195667	-1.348032083	55	6.006300565	3.481770058	-130.4007248	-6.60481968	1.513999973	20.74100037	-22.00099969
0.074890897	0.300135972	-1.214981041	55	6.162110229	3.604612404	-135.5035082	-6.568186847	-5.11999997	26.52999992	-11.47099996
0.075227077	0.301765623	-1.224868996	55	6.085073077	3.297573979	-134.9437577	-5.555497729	-12.67999979	26.90899963	-22.35800005
0.08754299	0.352832577	-1.241858226	55	6.19553975	-0.522082635	-116.1562709	0.618587155	10.08900026	22.1470005	-38.83499933
0.083880027	0.336923268	-1.102436981	55	6.025875183	1.522176221	-121.0812288	-2.245170617	-6.590000118	22.3439991	-24.21599985
0.074980014	0.300782458	-1.435742483	55	6.034881558	5.511003075	-135.3896934	-3.536172236	-3.696000005	27.10399933	-17.18000055
0.089449352	0.362381323	-1.155575652	55	6.169739382	0.272442147	-113.8882646	2.909052653	12.91399911	23.56400032	-42.19699884
0.075243262	0.301195115	-1.39982955	55	6.040925201	2.548960908	-134.8114726	-7.653716248	-7.279999937	25.50999947	-14.51600004
0.074608102	0.299532556	-1.215150166	55	6.09495101	4.645063754	-136.1043612	-7.886092126	-9.032000031	27.9140007	-13.4480002
0.074343309	0.298516109	-1.059672259	55	6.062277035	5.312121172	-136.5968348	-5.453670899	-8.167999949	28.21799965	-14.65100027
0.075151776	0.30181523	-1.254482668	55	6.075342408	7.068628564	-135.135888	-2.544053718	-13.12900015	27.72899933	-20.08399988
0.074033967	0.297494808	-1.479928047	55	6.115663873	4.183867411	-137.2043017	-4.137490557	-10.65700003	28.95600052	-18.38299966
0.076366805	0.305848292	-1.178508448	55	6.089847467	3.703898139	-132.8527041	-4.989046324	7.865999733	25.09100075	-21.60300089
0.074492684	0.29816949	-0.942871313	55	6.167555905	8.745384341	-136.166302	-3.786250469	-12.35799977	25.97899933	-20.67199922
0.074481477	0.298668905	-1.131536623	55	6.168346673	3.94005321	-136.2771306	-2.294870551	-14.09499976	27.21300049	-23.3570006
0.075291337	0.303086448	-1.235480659	55	6.081401073	4.136276548	-134.9992139	-5.96440406	-4.821000005	29.15599937	-13.89200044
0.090257025	0.365232008	-1.45472912	55	6.089848993	-1.595841972	-112.8234395	4.761521506	10.86899999	22.63099976	-42.19900156
0.077601223	0.310575744	-1.319380515	55	5.946738514	2.691145071	-130.7062149	-5.690696074	1.454999958	23.86699982	-22.09799982
0.08464472	0.340329496	-1.220090811	55	6.010095201	-1.101569458	-120.0298526	1.53822858	0.18099979	22.45	-26.7870009
0.074776721	0.300824143	-1.176036342	55	6.032231836	7.026743338	-135.8974247	-4.626284303	-15.42400023	29.14099998	-22.48900056
0.074383494	0.300253581	-1.164384079	55	6.119031056	5.228227893	-136.7803351	-4.336651718	-17.13999983	31.68899841	-20.52100015
0.087856776	0.355058942	-1.423377778	55	6.093719715	-1.651655407	-115.8528592	3.671652608	14.8719993	23.2739994	-41.37900186
0.083375096	0.333969851	-1.369321896	55	5.96518867	2.960435901	-121.6925392	-3.249565099	-3.236000027	21.13600082	-26.10499979
0.074458368	0.299731972	-0.938108522	55	6.158926523	8.304314468	-136.5092355	-8.332651561	-15.20900008	29.80899925	-18.47299982
0.075036416	0.301667916	-0.964504114	55	6.04813568	7.681495484	-135.3947188	-2.00157307	-13.50000044	28.5029995	-21.72500063
0.086971032	0.34818733	-1.161946518	55	5.9984383	1.997221934	-116.6382517	-1.235133635	-3.213000025	19.15999908	-26.26400018
0.078211809	0.313482123	-1.338020512	55	5.94415735	3.150534259	-129.7555421	-2.895902908	2.908000027	24.3970005	-24.28199983
0.074768695	0.299707939	-0.931331666	55	6.054539792	5.168128476	-135.735122	-4.266375019	-2.545999969	26.75400085	-15.81299997
0.074971151	0.301174015	-1.044298415	55	6.121578257	3.828655798	-135.4751179	-5.754277399	-5.173000003	28.04700012	-13.67700029
0.090069672	0.364988857	-1.475567199	55	6.095669893	0.921419858	-113.1141602	2.38627966	8.773000275	23.35600014	-43.24300027
