Date,Open,High,Low,Close,Volume,Adj Close
20161202,59.080002,59.470001,58.799999,59.25,25384900,59.25
20161201,60.110001,60.150002,58.939999,59.200001,33917000,59.200001
20161130,60.860001,61.18,60.220001,60.259998,33783900,60.259998
20161129,60.650002,61.41,60.52,61.09,22010800,61.09
20161128,60.34,61.02,60.209999,60.610001,20603800,60.610001
20161125,60.299999,60.529999,60.130001,60.529999,8370500,60.529999
20161123,61.009998,61.099998,60.25,60.400002,21847200,60.400002
20161122,60.98,61.259998,60.810001,61.119999,22645300,61.119999
20161121,60.50,60.970001,60.419998,60.860001,19563200,60.860001
20161118,60.779999,61.139999,60.299999,60.349998,26580600,60.349998
20161117,60.41,60.950001,59.970001,60.639999,31463700,60.639999
20161116,58.939999,59.66,58.810001,59.650002,26851400,59.650002
20161115,58.330002,59.490002,58.32,58.869999,34764300,58.869999
20161114,59.02,59.080002,57.279999,58.119999,41328400,57.73
20161111,58.23,59.119999,58.009998,59.02,38767800,58.623963
20161110,60.48,60.490002,57.630001,58.700001,57822400,58.30611
20161109,60.00,60.59,59.200001,60.169998,49632500,59.766244
20161108,60.549999,60.779999,60.150002,60.470001,22935400,60.064234
20161107,59.779999,60.52,59.779999,60.419998,31664800,60.014566
