Date,Open,High,Low,Close,Volume,Adj Close
20161202,109.169998,110.089996,108.849998,109.900002,26409800,109.900002
20161201,110.370003,110.940002,109.029999,109.489998,36825800,109.489998
20161130,111.599998,112.199997,110.269997,110.519997,35765000,110.519997
20161129,110.779999,112.029999,110.07,111.459999,28459300,111.459999
20161128,111.43,112.470001,111.389999,111.57,27026600,111.57
20161125,111.129997,111.870003,110.949997,111.790001,11424400,111.790001
20161123,111.360001,111.510002,110.330002,111.230003,27387900,111.230003
20161122,111.949997,112.419998,111.400002,111.800003,25922600,111.800003
20161121,110.120003,111.989998,110.010002,111.730003,29119100,111.730003
20161118,109.720001,110.540001,109.660004,110.059998,27404300,110.059998
20161117,109.809998,110.349998,108.830002,109.949997,26964600,109.949997
20161116,106.699997,110.230003,106.599998,109.989998,58702500,109.989998
20161115,106.57,107.68,106.160004,107.110001,32216900,107.110001
20161114,107.709999,107.809998,104.080002,105.709999,50872500,105.709999
20161111,107.120003,108.870003,106.550003,108.43,34094100,108.43
20161110,111.089996,111.089996,105.830002,107.790001,57134500,107.790001
20161109,109.879997,111.32,108.050003,110.879997,59176400,110.879997
20161108,110.309998,111.720001,109.699997,111.059998,24054500,111.059998
20161107,110.080002,110.510002,109.459999,110.410004,32560000,110.410004
20161104,108.529999,110.25,108.110001,108.839996,30837000,108.839996
20161103,110.980003,111.459999,109.550003,109.830002,26932600,109.830002
20161102,111.400002,112.349998,111.230003,111.589996,28331700,111.019995
20161101,113.459999,113.769997,110.529999,111.489998,43825800,110.920507
20161031,113.650002,114.230003,113.199997,113.540001,26419400,112.960039
20161028,113.870003,115.209999,113.449997,113.720001,37861700,113.13912
20161027,115.389999,115.860001,114.099998,114.480003,34562000,113.89524
20161026,114.309998,115.699997,113.309998,115.589996,66134200,114.999563
20161025,117.949997,118.360001,117.309998,118.25,48129000,117.645979
20161024,117.099998,117.739998,117.00,117.650002,23538700,117.049045
20161021,116.809998,116.910004,116.279999,116.599998,23192700,116.004406
20161020,116.860001,117.379997,116.330002,117.059998,24125800,116.462055
20161019,117.25,117.760002,113.800003,117.120003,20034600,116.521754
20161018,118.18,118.209999,117.449997,117.470001,24553500,116.869965
20161017,117.330002,117.839996,116.779999,117.550003,23624900,116.949558
20161014,117.879997,118.169998,117.129997,117.629997,35652200,117.029143
20161013,116.790001,117.440002,115.720001,116.980003,35192400,116.38247
20161012,117.349998,117.980003,116.75,117.339996,37586800,116.740624
20161011,117.699997,118.690002,116.199997,116.300003,64041000,115.705943
20161010,115.019997,116.75,114.720001,116.050003,36236000,115.45722
20161007,114.309998,114.559998,113.510002,114.059998,24358400,113.477379
20161006,113.699997,114.339996,113.129997,113.889999,28779300,113.308249
20161005,113.400002,113.660004,112.690002,113.050003,21453100,112.472544
